time,surv,COHORT,modifier,se,ci_lower,ci_upper,cuminc_surv,cuminc_ci_lower,cuminc_ci_upper
180,0.9549636720657234,unexposed,40 to 64,9.251191853983997e-4,0.9531504717809356,0.9567768723505113,45.036327934276585,46.84952821906441,43.22312764948866
365,0.9181917783553191,unexposed,40 to 64,0.0015759282843239692,0.9151030156758261,0.9212805410348119,81.80822164468094,84.89698432417391,78.71945896518807
180,0.9625045345958616,unexposed,65 plus,0.0011741000120762308,0.9602033408579441,0.9648057283337791,37.49546540413839,39.79665914205588,35.194271666220914
365,0.9315463040855939,unexposed,65 plus,0.002062888489776106,0.9275031169415106,0.9355894912296773,68.45369591440608,72.49688305848944,64.41050877032272
180,0.9398339372503242,exposed,Hospitalized,0.0024630723804580186,0.9350064040933111,0.9446614704073373,60.166062749675845,64.99359590668885,55.338529592662724
365,0.8917154708340391,exposed,Hospitalized,0.004201052803367993,0.8834815586422868,0.8999493830257914,108.28452916596088,116.51844135771316,100.05061697420858
180,0.9593881125942075,exposed,Not Hospitalized,0.0011830066489985443,0.9570694621686989,0.961706763019716,40.611887405792466,42.93053783130107,38.29323698028397
365,0.9258787903740666,exposed,Not Hospitalized,0.002061755651078686,0.9218378235530305,0.9299197571951028,74.12120962593337,78.16217644696954,70.08024280489722
180,0.9506232492697528,historical,Hospitalized,0.003592581720464973,0.9435819184861245,0.9576645800533811,49.37675073024717,56.41808151387551,42.335419946618934
365,0.9104481306950022,historical,Hospitalized,0.006232409263836764,0.8982328330009683,0.922663428389036,89.55186930499781,101.76716699903166,77.33657161096397
180,0.9725596355334597,historical,Not Hospitalized,9.005850951115213e-4,0.9707945211820276,0.9743247498848918,27.440364466540302,29.20547881797242,25.675250115108184
365,0.9494361480967216,historical,Not Hospitalized,0.001566080514075013,0.9463666866922446,0.9525056095011986,50.56385190327839,53.63331330775545,47.494390498801444
180,0.953804005901566,unexposed,Hospitalized,0.0010759234035328236,0.9516952347805179,0.955912777022614,46.195994098434,48.30476521948213,44.087222977385984
365,0.9160255840963958,unexposed,Hospitalized,0.0018210859127498866,0.9124563212946528,0.9195948468981389,83.97441590360421,87.54367870534719,80.40515310186113
180,0.9643577878566278,unexposed,Not Hospitalized,6.162677634458719e-4,0.9631499252354409,0.9655656504778147,35.642212143372156,36.850074764559146,34.43434952218527
365,0.934714465050128,unexposed,Not Hospitalized,0.0010629912049093149,0.9326310405726229,0.9367978895276331,65.28553494987199,67.36895942737708,63.202110472366904
180,0.9562591475853812,exposed,Overlap,0.0010556651099996306,0.9541900819900464,0.958328213180716,43.74085241461878,45.8099180099536,41.671786819283966
365,0.9204245053828783,exposed,Overlap,0.0018128024284688648,0.9168714779119926,0.923977532853764,79.57549461712165,83.12852208800736,76.02246714623595
180,0.9682435555138328,historical,Overlap,0.001094246948287762,0.9660988709049959,0.9703882401226697,31.75644448616721,33.90112909500409,29.611759877330336
365,0.9417398473993631,historical,Overlap,0.0018795177815787462,0.9380560602391661,0.94542363455956,58.260152600636886,61.9439397608339,54.57636544043998
180,0.9611466980929071,unexposed,Overlap,5.840616209732491e-4,0.9600019583510474,0.9622914378347667,38.853301907092906,39.9980416489526,37.70856216523333
365,0.92907445467498,unexposed,Overlap,9.892464027785738e-4,0.9271355673536982,0.9310133419962617,70.92554532502004,72.86443264630182,68.98665800373827
